x_um,z_um
0.000,-1.081152
0.500,-0.969752
1.000,-0.864052
1.500,-0.757652
2.000,-0.645852
2.500,-0.531152
3.000,-0.423052
3.500,-0.336152
4.000,-0.281052
4.500,-0.256352
5.000,-0.254252
5.500,-0.253952
6.000,-0.236552
6.500,-0.191252
7.000,-0.107452
7.500,0.007948
8.000,0.150448
8.500,0.312048
9.000,0.485848
9.500,0.675248
10.000,0.874348
10.500,1.080448
11.000,1.286248
11.500,1.480448
12.000,1.654148
12.500,1.807748
13.000,1.938848
13.500,2.049948
14.000,2.153548
14.500,2.255548
15.000,2.358648
15.500,2.465348
16.000,2.572048
16.500,2.671948
17.000,2.755348
17.500,2.820648
18.000,2.867248
18.500,2.900648
19.000,2.930948
19.500,2.966748
20.000,3.007248
20.500,3.055848
21.000,3.108748
21.500,3.167748
22.000,3.226448
22.500,3.279748
23.000,3.321648
23.500,3.346148
24.000,3.346048
24.500,3.316148
25.000,3.236648
25.500,3.079548
26.000,2.797748
26.500,2.352648
27.000,1.765448
27.500,1.128948
28.000,0.572348
28.500,0.184148
29.000,-0.031652
29.500,-0.127852
30.000,-0.198552
30.500,-0.319652
31.000,-0.509452
31.500,-0.744852
32.000,-0.981652
32.500,-1.181252
33.000,-1.335852
33.500,-1.462452
34.000,-1.579252
34.500,-1.701352
35.000,-1.828752
35.500,-1.950352
36.000,-2.049652
36.500,-2.112752
37.000,-2.131352
37.500,-2.114352
38.000,-2.080552
38.500,-2.052952
39.000,-2.041052
39.500,-2.054252
40.000,-2.083652
40.500,-2.119752
41.000,-2.145052
41.500,-2.148052
42.000,-2.131852
42.500,-2.107152
43.000,-2.087052
43.500,-2.089752
44.000,-2.128252
44.500,-2.200452
45.000,-2.292352
45.500,-2.398552
46.000,-2.513352
46.500,-2.626252
47.000,-2.723752
47.500,-2.792652
48.000,-2.824152
48.500,-2.827952
49.000,-2.812052
49.500,-2.793752
50.000,-2.778052
50.500,-2.774852
51.000,-2.770052
51.500,-2.739752
52.000,-2.674752
52.500,-2.567152
53.000,-2.438252
53.500,-2.312852
54.000,-2.216952
54.500,-2.159052
55.000,-2.137352
55.500,-2.142552
56.000,-2.150052
56.500,-2.132952
57.000,-2.075552
57.500,-1.968552
58.000,-1.812652
58.500,-1.625752
59.000,-1.431652
59.500,-1.254352
60.000,-1.110652
60.500,-1.002752
61.000,-0.926752
61.500,-0.873652
62.000,-0.832352
62.500,-0.793752
63.000,-0.750652
63.500,-0.700852
64.000,-0.647752
64.500,-0.591452
65.000,-0.530352
65.500,-0.460552
66.000,-0.376452
66.500,-0.276052
67.000,-0.158252
67.500,-0.030252
68.000,0.097048
68.500,0.220348
69.000,0.339848
69.500,0.457348
70.000,0.579448
70.500,0.710548
71.000,0.844248
71.500,0.977448
72.000,1.103748
72.500,1.215348
73.000,1.318648
73.500,1.417748
74.000,1.520448
74.500,1.626648
75.000,1.733448
75.500,1.832848
76.000,1.919448
76.500,1.991548
77.000,2.052748
77.500,2.107748
78.000,2.154048
78.500,2.194248
79.000,2.225748
79.500,2.260848
80.000,2.300148
80.500,2.342548
81.000,2.396448
81.500,2.463148
82.000,2.544248
82.500,2.632648
83.000,2.726348
83.500,2.813148
84.000,2.882948
84.500,2.922848
85.000,2.931348
85.500,2.899848
86.000,2.832348
86.500,2.725248
87.000,2.566748
87.500,2.316248
88.000,1.939648
88.500,1.432948
89.000,0.847448
89.500,0.277948
90.000,-0.176952
90.500,-0.466452
91.000,-0.597052
91.500,-0.623652
92.000,-0.616152
92.500,-0.630552
93.000,-0.685152
93.500,-0.779352
94.000,-0.884152
94.500,-0.969852
95.000,-1.030352
95.500,-1.070252
96.000,-1.099052
96.500,-1.114152
97.000,-1.118052
97.500,-1.107652
98.000,-1.089252
98.500,-1.063352
99.000,-1.034752
99.500,-1.008752
100.000,-0.986052
100.500,-0.965052
101.000,-0.947652
101.500,-0.930052
102.000,-0.911452
102.500,-0.896052
103.000,-0.881652
103.500,-0.874052
104.000,-0.878752
104.500,-0.903252
105.000,-0.950952
105.500,-1.025652
106.000,-1.123552
106.500,-1.241152
107.000,-1.369952
107.500,-1.501752
108.000,-1.620952
108.500,-1.715152
109.000,-1.775052
109.500,-1.806652
110.000,-1.821752
110.500,-1.826652
111.000,-1.833152
111.500,-1.837252
112.000,-1.826152
112.500,-1.790552
113.000,-1.724552
113.500,-1.633352
114.000,-1.538252
114.500,-1.453152
115.000,-1.384852
115.500,-1.330352
116.000,-1.277552
116.500,-1.203052
117.000,-1.094352
117.500,-0.942452
118.000,-0.755152
118.500,-0.536452
119.000,-0.310352
119.500,-0.098152
120.000,0.083748
120.500,0.232448
121.000,0.349348
121.500,0.437648
122.000,0.505348
122.500,0.559648
123.000,0.604448
123.500,0.647548
124.000,0.686648
124.500,0.721948
125.000,0.752748
125.500,0.775248
126.000,0.781548
126.500,0.774648
127.000,0.760148
127.500,0.755948
128.000,0.781548
128.500,0.840548
129.000,0.930948
129.500,1.029448
130.000,1.114948
130.500,1.172848
131.000,1.204048
131.500,1.219748
132.000,1.228148
132.500,1.249748
133.000,1.290248
133.500,1.355448
134.000,1.439848
134.500,1.536848
135.000,1.646648
135.500,1.762648
136.000,1.880348
136.500,1.999148
137.000,2.108648
137.500,2.204648
138.000,2.285848
138.500,2.355648
139.000,2.410448
139.500,2.454448
140.000,2.487248
140.500,2.507448
141.000,2.512248
141.500,2.499048
142.000,2.471048
142.500,2.433448
143.000,2.399148
143.500,2.363048
144.000,2.326648
144.500,2.289448
145.000,2.246448
145.500,2.197748
146.000,2.142848
146.500,2.074948
147.000,1.987948
147.500,1.881248
148.000,1.752248
148.500,1.606948
149.000,1.452448
149.500,1.282848
150.000,1.087748
150.500,0.850048
151.000,0.564148
151.500,0.236948
152.000,-0.102952
152.500,-0.413452
153.000,-0.670852
153.500,-0.865552
154.000,-1.018252
154.500,-1.139852
155.000,-1.235152
155.500,-1.309852
156.000,-1.356352
156.500,-1.370452
157.000,-1.351752
157.500,-1.306752
158.000,-1.241052
158.500,-1.166752
159.000,-1.096952
159.500,-1.039852
160.000,-1.003752
160.500,-0.990452
161.000,-0.997952
161.500,-1.025852
162.000,-1.063852
162.500,-1.099952
163.000,-1.121052
163.500,-1.130052
164.000,-1.120552
164.500,-1.104752
165.000,-1.100852
165.500,-1.121652
166.000,-1.173552
166.500,-1.253952
167.000,-1.358052
167.500,-1.473452
168.000,-1.594652
168.500,-1.720652
169.000,-1.849752
169.500,-1.971652
170.000,-2.068852
170.500,-2.125852
171.000,-2.147452
171.500,-2.143152
172.000,-2.124552
172.500,-2.099352
173.000,-2.067852
173.500,-2.024352
174.000,-1.963252
174.500,-1.869152
175.000,-1.747452
175.500,-1.617752
176.000,-1.498352
176.500,-1.403352
177.000,-1.334752
177.500,-1.286252
178.000,-1.232652
178.500,-1.157252
179.000,-1.056352
179.500,-0.936252
180.000,-0.812352
180.500,-0.691852
181.000,-0.578552
181.500,-0.471552
182.000,-0.371052
182.500,-0.271952
183.000,-0.178052
183.500,-0.097552
184.000,-0.031352
184.500,0.012248
185.000,0.034948
185.500,0.042548
186.000,0.043048
186.500,0.040448
187.000,0.039648
187.500,0.043648
188.000,0.057148
188.500,0.078348
189.000,0.110448
189.500,0.156748
190.000,0.212948
190.500,0.275548
191.000,0.334248
191.500,0.381648
192.000,0.424248
192.500,0.474448
193.000,0.536348
193.500,0.614148
194.000,0.706948
194.500,0.808048
195.000,0.916948
195.500,1.025448
196.000,1.129248
196.500,1.236648
197.000,1.337948
197.500,1.433848
198.000,1.522048
198.500,1.595048
199.000,1.660948
199.500,1.728148
200.000,1.798248
